time,ac1_status,ac1_set_temp,ac1_return_temp,ac2_status,ac2_set_temp,ac2_return_temp,ac3_status,ac3_set_temp,ac3_return_temp,ac4_status,ac4_set_temp,ac4_return_temp,sensor1_humidity,sensor1_temp,sensor2_humidity,sensor2_temp,sensor3_humidity,sensor3_temp,sensor4_humidity,sensor4_temp,sensor5_humidity,sensor5_temp,sensor6_humidity,sensor6_temp,sensor7_humidity,sensor7_temp,sensor10_humidity,sensor10_temp,sensor11_humidity,sensor11_temp,sensor12_humidity,sensor12_temp,sensor13_humidity,sensor13_temp,sensor14_humidity,sensor14_temp,sensor15_humidity,sensor15_temp,sensor16_humidity,sensor16_temp
2024/8/1 0:00,1,25,24,1,26,26.9,1,24,25.3,1,25,26.7,47.7,26.4,45.9,26.9,47.6,26,54.4,23.5,50.7,24.6,50.7,24.6,44.9,26.1,47.8,28.1,49.5,27.7,49.5,25.3,44.5,27,58.2,25.8,55,25.4,48.3,28.8
2024/8/1 0:01,1,25,24,1,26,26.9,1,24,25.3,1,25,26.7,47.7,26.4,45.9,26.9,47.6,26,54.4,23.5,50.7,24.6,50.7,24.6,44.9,26.1,47.8,28.1,49.5,27.7,49.5,25.3,44.5,27,58.2,25.8,55,25.4,48.3,28.8
2024/8/1 0:02,1,25,24,1,26,26.9,1,24,25.3,1,25,26.7,47.7,26.4,45.9,26.9,47.6,26,54.4,23.5,50.7,24.6,50.7,24.6,44.9,26.1,47.8,28.1,49.5,27.7,49.5,25.3,44.5,27,58.2,25.8,55,25.4,48.3,28.8
2024/8/1 0:03,1,25,24,1,26,26.9,1,24,25.3,1,25,26.7,47.7,26.4,45.9,26.9,47.6,26,54.4,23.5,50.7,24.6,50.7,24.6,44.9,26.1,47.8,28.1,49.5,27.7,49.5,25.3,44.5,27,58.2,25.8,55,25.4,48.3,28.8
2024/8/1 0:04,1,25,24,1,26,26.9,1,24,25.3,1,25,26.7,47.7,26.4,45.9,26.9,47.6,26,54.4,23.5,50.7,24.6,50.7,24.6,44.9,26.1,47.8,28.1,49.5,27.7,49.5,25.3,44.5,27,58.2,25.8,55,25.4,48.3,28.8
2024/8/1 0:05,1,25,25.7,1,26,26.7,1,24,24.8,1,25,26.7,47.7,26.4,45.9,26.9,47.6,26,54.4,23.5,50.7,24.6,50.7,24.6,44.9,26.1,41,29.1,44.2,28,49.5,25.3,44.5,27,58.2,25.8,55,25.4,48.3,28.8
2024/8/1 0:06,1,25,25.7,1,26,26.7,1,24,24.8,1,25,26.7,47.7,26.4,45.9,26.9,47.6,26,54.4,23.5,50.7,24.6,50.7,24.6,44.9,26.1,41,29.1,44.2,28,49.5,25.3,44.5,27,58.2,25.8,55,25.4,48.3,28.8
2024/8/1 0:07,1,25,25.7,1,26,26.7,1,24,24.8,1,25,26.7,47.7,26.4,45.9,26.9,47.6,26,54.4,23.5,50.7,24.6,50.7,24.6,44.9,26.1,41,29.1,44.2,28,49.5,25.3,44.5,27,58.2,25.8,55,25.4,48.3,28.8
2024/8/1 0:08,1,25,25.7,1,26,26.7,1,24,24.8,1,25,26.7,47.7,26.4,45.9,26.9,47.6,26,54.4,23.5,50.7,24.6,50.7,24.6,44.9,26.1,41,29.1,44.2,28,49.5,25.3,44.5,27,58.2,25.8,55,25.4,48.3,28.8
2024/8/1 0:09,1,25,25.7,1,26,26.7,1,24,24.8,1,25,26.7,47.7,26.4,45.9,26.9,47.6,26,54.4,23.5,50.7,24.6,50.7,24.6,44.9,26.1,41,29.1,44.2,28,49.5,25.3,44.5,27,58.2,25.8,55,25.4,48.3,28.8
